driverId,week,hours-logged,miles-logged
68,17,60,1800
100,29,51,2700
50,9,65,2600
56,42,52,3400
102,39,74,3000
51,41,58,100
48,40,64,0
106,46,62,2600
70,8,76,2300
66,16,50,2200
55,37,67,800
108,14,55,1200
65,33,57,3100
62,41,69,800
100,42,74,1300
18,45,55,3300
60,37,78,2100
51,31,80,0
83,18,57,2800
38,24,72,2600
108,7,76,3900
30,2,54,2900
104,47,67,0
37,42,64,600
54,39,52,800
108,50,60,1900
108,26,57,3200
76,38,55,2900
23,27,52,3800
37,13,64,2100
89,11,72,1900
72,40,52,1200
100,7,80,2600
14,32,71,2400
90,52,50,1300
75,33,61,1800
36,1,63,900
26,44,51,3600
60,35,51,800
108,46,74,3100
33,45,80,2900
56,50,53,2000
64,45,57,2700
103,27,73,3900
51,15,70,3000
30,37,75,3600
89,14,64,1900
96,19,60,3400
36,43,61,1500
19,34,75,3300
75,15,74,4000
91,1,60,1200
35,32,52,3700
39,30,72,3800
107,44,67,1400
62,31,65,3900
88,1,52,1400
53,27,66,700
80,31,73,3900
38,12,56,2500
49,43,78,3800
87,21,61,2400
105,28,73,1900
45,11,64,3100
24,9,67,3700
107,19,67,1900
12,14,77,1200
29,43,52,1700
83,47,72,1300
109,6,57,1000
108,4,72,1000
43,20,70,1900
85,10,52,3300
103,26,54,700
19,34,74,200
81,7,73,3300
60,8,69,1700
48,11,50,2300
102,24,78,1400
106,32,53,3300
29,2,62,3400
96,31,55,3500
55,20,61,2700
42,39,74,4000
66,2,63,1700
27,12,52,300
69,30,62,3300
28,47,53,3100
27,22,50,2000
54,9,64,3600
64,46,64,3300
85,50,80,1600
37,3,59,3000
56,17,56,400
101,3,63,100
33,20,64,100
14,36,50,1500
60,48,64,200
23,45,78,2400
43,41,62,0
18,32,62,3500
109,49,71,100
78,25,55,0
18,31,55,400
64,4,64,1400
109,48,80,2900
76,17,71,3400
101,5,80,3700
95,28,73,700
105,1,66,3800
81,29,64,1600
45,27,77,900
89,13,61,2900
107,2,54,100
81,3,66,2700
102,13,62,3200
44,41,78,0
105,4,58,700
80,2,60,200
56,11,59,3600
16,46,52,1000
15,17,54,2400
101,45,55,1800
89,12,67,600
62,40,52,1100
12,34,57,100
85,52,72,400
33,4,80,2800
104,11,52,400
18,3,61,2900
99,30,78,2400
33,39,70,2600
21,13,79,200
109,22,53,1800
27,51,60,3700
18,46,77,2400
96,22,52,1100
64,39,72,1500
26,51,55,3500
93,5,53,2800
100,49,77,1200
68,45,64,1300
47,34,61,100
49,19,62,3500
29,25,55,200
21,13,52,500
20,37,51,1700
39,43,51,3500
88,43,63,2700
97,47,76,1400
87,12,76,2800
75,24,74,0
22,43,52,2000
39,11,80,100
83,7,65,2700
36,13,75,2400
45,24,60,3800
77,12,54,1400
58,2,62,2000
59,42,79,2800
47,26,70,1500
88,46,67,1500
64,12,74,200
79,24,55,1500
77,32,71,700
82,3,63,3000
96,6,52,3900
33,10,56,2600
72,1,79,800
65,48,50,3400
90,44,51,600
34,39,71,2700
106,1,80,3600
90,23,74,3100
34,39,62,3500
45,52,71,2800
68,44,55,3200
36,46,73,1200
61,26,73,600
20,31,63,1100
67,8,74,3000
71,47,69,3200
28,2,61,2600
65,7,54,3300
83,38,59,2200
48,2,67,1600
11,50,62,900
93,21,56,2100
95,14,73,2100
68,8,78,1800
49,5,60,3800
62,46,52,600
92,3,50,3900
48,49,62,3500
39,11,74,300
24,49,66,800
76,17,64,400
85,4,69,1200
32,28,52,300
12,38,57,700
20,23,74,1000
37,26,68,1100
104,29,65,3200
46,42,55,3600
41,2,64,3400
48,41,70,3700
85,13,53,900
103,10,76,2900
100,29,54,800
33,2,54,2100
61,40,66,4000
87,11,68,1800
56,12,52,2900
57,35,76,2700
79,49,70,1600
15,11,68,1300
106,31,72,2400
29,6,62,1600
67,33,63,3100
50,21,80,1900
53,31,66,800
82,28,56,1700
101,26,60,3100
106,12,63,900
100,36,74,1400
84,30,57,3100
70,39,57,1600
49,16,54,1200
108,38,73,3400
107,36,51,300
100,51,57,2700
68,11,69,900
83,17,64,2400
18,36,69,800
40,45,69,1000
52,2,65,0
62,2,52,3900
32,9,56,3400
104,6,62,2000
87,36,67,100
98,44,58,1000
24,18,59,3800
90,19,74,2000
93,4,69,2500
16,38,53,0
56,17,57,2000
102,30,67,2600
84,2,52,1600
94,25,67,400
18,36,79,3100
14,51,51,3200
69,2,52,900
36,16,54,900
37,37,55,1400
12,43,67,0
37,29,77,3200
51,15,79,2900
93,11,76,3800
38,8,51,2500
48,2,66,1400
79,21,56,800
96,28,69,700
25,41,59,800
18,6,73,200
22,45,56,500
69,8,59,3300
89,6,51,1000
20,21,55,800
45,42,64,300
39,52,77,1800
29,28,79,3700
65,6,54,2700
11,49,66,1700
69,37,71,0
105,6,71,1100
23,51,78,2300
51,1,75,3700
29,8,60,900
58,45,69,100
24,33,80,2200
92,9,73,1800
95,36,61,3500
43,1,69,3600
47,18,73,1500
13,27,73,0
88,15,63,1700
89,43,50,2100
109,48,57,0
15,30,79,500
76,12,79,800
85,18,71,500
82,34,78,2100
35,22,78,2500
67,44,73,1000
96,21,76,1400
29,34,52,1000
88,34,80,1200
105,34,70,1900
19,10,76,1300
41,30,64,3800
77,27,64,2600
93,6,52,2300
40,20,68,900
30,25,54,1500
43,49,80,2500
50,27,53,3700
61,18,64,1700
32,3,61,0
27,51,67,100
59,33,61,3400
105,40,67,2400
96,15,63,1300
68,28,55,1100
87,12,56,300
91,19,77,3400
30,33,71,2500
55,28,50,1500
63,46,54,2000
65,44,59,1300
67,26,76,3300
83,41,62,1800
48,50,52,2600
61,22,79,100
91,47,51,3500
89,36,71,100
103,20,79,3600
60,8,63,1800
23,34,52,800
96,2,77,1500
45,42,67,1400
67,38,76,3300
99,8,72,1700
16,31,65,700
103,16,54,600
73,22,78,2100
51,22,54,3900
106,4,64,2500
76,35,80,2800
39,31,52,1300
88,25,55,800
38,9,62,2600
11,21,67,2000
34,38,53,1500
49,52,67,0
91,23,72,200
74,11,77,3700
74,27,56,700
62,11,79,400
73,6,61,2700
105,7,73,300
83,50,79,3000
20,43,57,700
19,35,52,2900
99,26,68,2500
54,51,55,3500
61,5,62,900
93,14,77,600
108,43,68,3000
81,28,74,2200
46,7,75,2100
67,45,75,3300
30,47,80,3400
43,19,78,4000
41,18,77,1000
70,47,73,800
107,47,74,1700
41,19,66,1200
82,20,51,2900
95,44,76,1300
46,10,69,2700
27,31,60,1600
37,3,72,900
81,3,54,2300
105,14,54,2800
106,38,53,2700
95,50,51,600
68,25,72,3700
51,11,51,500
102,27,53,2800
48,5,59,1200
91,41,57,3100
104,40,77,500
53,26,55,2600
50,22,54,1400
65,27,75,2400
63,26,57,2900
78,42,58,3200
81,1,67,2300
76,8,61,2400
75,16,70,2100
41,38,56,3600
50,37,79,600
41,50,76,1000
47,50,76,3200
94,35,59,1900
95,13,56,2000
84,37,79,800
31,5,63,1500
60,44,61,3700
15,36,72,2200
96,43,56,200
26,13,70,2600
58,39,72,3400
83,33,59,2900
97,24,73,300
65,7,75,700
12,34,52,3400
57,40,66,1400
95,51,80,300
75,12,79,500
39,9,75,1800
82,43,75,3900
108,37,63,1800
20,50,80,3000
33,42,75,800
90,44,58,400
18,10,65,1400
61,44,80,1400
15,39,73,1800
63,35,69,2600
54,9,67,3900
16,10,50,1600
85,21,53,3700
38,39,71,300
51,20,57,3700
106,3,53,2700
61,43,59,3700
46,45,53,2000
95,23,77,100
45,4,73,3900
11,21,59,1300
43,34,56,1000
56,20,59,1500
48,11,66,3500
101,16,64,1600
34,38,61,1400
41,14,56,100
37,50,65,2900
106,8,80,3800
99,10,61,1400
57,23,53,2900
18,8,60,2100
87,37,71,4000
100,13,55,2000
15,36,52,2000
52,1,67,2200
53,38,64,1800
53,14,50,600
63,46,74,1400
100,12,65,1800
93,2,79,400
30,31,65,1400
34,1,73,200
33,49,50,3700
109,40,55,2100
11,37,77,2200
10,13,58,1300
99,12,65,2800
78,52,67,200
64,28,51,200
96,6,55,1300
77,33,62,4000
49,46,56,1200
43,11,76,3900
64,16,59,1500
107,41,50,200
49,25,65,2700
55,42,75,700
56,45,72,2400
31,5,74,2200
50,42,67,2000
38,43,53,1100
12,8,80,3100
77,26,79,500
75,7,73,700
34,9,77,3000
40,5,63,1200
53,51,71,2400
107,29,68,2300
54,12,66,100
53,31,62,0
53,43,63,3000
16,46,63,1000
24,1,69,1700
36,46,64,1200
31,13,53,1900
14,10,71,3400
104,37,66,2200
78,28,65,2000
24,50,59,0
13,22,71,1300
90,13,78,700
27,11,63,0
68,10,53,3700
99,36,55,1600
102,23,73,200
102,21,54,100
62,35,56,1300
63,30,65,3100
38,6,70,4000
82,10,66,3300
108,40,72,3200
89,50,62,500
58,22,68,500
49,25,78,1100
28,29,67,100
78,33,71,500
103,29,80,900
48,14,52,2500
27,9,69,3400
32,15,80,800
77,31,79,1900
80,16,65,2000
43,21,52,700
23,19,51,3200
60,36,58,1700
81,32,74,3800
55,4,62,2100
80,15,57,800
12,31,69,2400
97,27,74,1500
84,41,70,2900
80,10,75,1400
94,47,59,600
93,13,74,2800
75,1,57,1600
49,4,59,1000
34,27,50,1400
67,47,55,700
102,27,68,3100
68,30,58,4000
28,20,65,100
86,43,58,1100
32,26,65,2700
79,23,64,3000
26,52,51,1600
24,13,80,3600
101,20,56,1600
102,46,64,3700
23,46,77,800
36,49,55,3300
106,8,55,600
81,33,59,3800
29,36,59,2100
11,32,56,1900
99,2,64,3200
49,12,66,1100
38,34,80,300
28,2,55,100
103,10,63,1300
13,45,65,3000
85,4,74,200
84,34,53,1300
52,17,50,400
42,13,75,3100
44,23,74,1300
26,25,78,700
29,7,80,500
57,2,62,900
37,19,76,1000
106,39,59,1000
15,7,67,3800
51,48,70,3000
59,2,57,2400
74,48,69,600
83,26,76,1100
79,19,52,300
86,1,73,2200
93,31,53,2800
76,39,72,1200
47,28,67,400
95,51,56,1400
85,37,62,200
18,52,59,2800
85,42,53,1900
92,46,71,2400
86,39,67,2600
33,2,62,0
35,26,76,100
74,40,71,2400
60,29,80,3200
75,8,64,3500
64,2,51,3200
31,23,56,3600
108,25,77,400
22,2,78,0
86,13,64,2400
98,43,56,1100
86,29,54,2200
101,36,68,2100
107,32,63,300
48,46,69,2800
52,21,62,3100
32,32,74,1500
18,45,80,400
101,34,71,3600
38,1,59,0
84,21,74,1000
69,11,57,1000
11,7,55,3400
45,19,79,300
38,13,63,2500
66,16,76,2300
89,12,55,3300
59,31,63,1700
104,32,73,1100
14,11,61,1300
46,29,72,3600
10,39,63,1900
66,42,62,900
48,29,57,900
84,38,78,2500
77,25,60,100
13,38,73,1000
47,33,50,2100
35,25,76,3400
94,43,64,200
99,21,64,3700
78,50,71,2700
42,5,65,700
109,38,64,500
32,28,58,2100
